REDAME_file,Heading,Contents,Codes with >= 2 votes
https://github.com/sethm/symon,# SYMON - A 6502 System Simulator," Version: 1.3.1 Last Updated: 12 October, 2019 See the file COPYING for license. ",14
https://github.com/sethm/symon,## 1.0 About,"  Symon is a general purpose simulator for systems based on the MOS
Technologies 6502 microprocessor and compatibles. Symon is implemented
in Java. Its core goals are accuracy, ease of development, clear
documentation, and extensive test suites for validating correctness. Symon simulates a complete system with a 1 MHz NMOS 6502 or CMOS
65C02, 32KB of RAM, 16KB of ROM, a MOS 6551 or Motorola 6850 ACIA, a
MOS 6522 VIA, and an experimental 6545 CRTC. Symon has extensive unit tests to verify correctness, and fully passes
Klaus Dormann's 6502 Functional Test Suite as of version 0.8.2
(See this thread on the 6502.org Forums
for more information about this functional test suite). Symon is under constant, active development. Feedback and patches
are always welcome.",1246
https://github.com/sethm/symon,## 2.0 Requirements,"  
Java 1.8 or higher
Maven 2.0.x or higher (for building from source)
JUnit 4 or higher (for testing)
",3
https://github.com/sethm/symon,## 3.0 Features,"  Symon can simulate multiple 6502 based architectures. At present, three
machines are implemented: Symon (the default), MULTICOMP, and a ""Simple""
machine useful for debugging.",1
https://github.com/sethm/symon,### 3.1 Memory Maps, ,1
https://github.com/sethm/symon,#### 3.1.1 Symon Memory Map,"  
$0000--$7FFF: 32KB RAM
$8000--$800F: 6522 VIA
$8800--$8803: MOS 6551 ACIA (Serial Console)
$9000--$9001: MOS 6545 CRTC
$C000--$FFFF: 16KB ROM
 The CRT Controller uses memory address $7000 as the start of Video
memory.",1
https://github.com/sethm/symon,#### 3.1.2 MULTICOMP Memory Map,"  
$0000--$DFFF: 56KB RAM
$E000--$FFFF: 8KB ROM
$FFD0--$FFD1: Motorola 6850 ACIA
$FFD8--$FFDF: Controller for SD cards
",1
https://github.com/sethm/symon,### 3.1.3 Simple Memory Map,"  
$0000--$FFFF: 64KB RAM
",1
https://github.com/sethm/symon,### 3.2 Serial Console and CPU Status,"   The main window of the simulator acts as the primary Input/Output
system through a virtual serial terminal. The terminal is attached to
a simulated ACIA, including a programmable baud rate generator that
tries to approximate the correct ""feel"" of the programmed baud rate.
(The sample Enhanced BASIC ROM image is programmed for 9600 baud) It also provides CPU status. Contents of the accumulator, index
registers, processor status flags, disassembly of the instruction
register, and stack pointer are all displayed.  The console supports font sizes from 10 to 20 points.",1
https://github.com/sethm/symon,### 3.3 ROM Loading,"   Symon can load any appropriately sized ROM image. The Symon
architecture expects as 16KB (16384 byte) ROM image, while the
MULTICOMP architecture expects an 8KB (8192 byte) ROM image. Images
are loaded via the ""Load ROM..."" action in the ""File"" menu. The
selected ROM file will be loaded into memory at the correct ROM base
address.",1
https://github.com/sethm/symon,### 3.4 Memory Window,   Memory contents can be viewed (and edited) one page at a time through the Memory Window.,1
https://github.com/sethm/symon,### 3.5 Trace Log,"   The last 20,000 execution steps are disassembled and logged to the Trace Log
Window.",1
https://github.com/sethm/symon,### 3.6 Simulator Speeds,   Simulated speeds may be set from 1MHz to 8MHz.,1
https://github.com/sethm/symon,### 3.7 Breakpoints,   Breakpoints can be set and removed through the Breakpoints window.,1
